num_genero,genero,titulo,tipo,archivo_mp3,ficha_letra,url
021,Sentimiento_Musical_Multilingue,Tempus Te Mecum LATIN,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/021-Tempus_Te_Mecum_LATIN.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/021-Tempus_Te_Mecum_LATIN.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139884/Tempus_Te_Mecum_LATIN_peqtfx.mp3
022,Sentimiento_Musical_Multilingue,Tempus Te Mecum LATIN V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/022-Tempus_Te_Mecum_LATIN_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/022-Tempus_Te_Mecum_LATIN_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139886/Tempus_Te_Mecum_LATIN_V1_iw06lr.mp3
023,Sentimiento_Musical_Multilingue,Tempus Te Mecum LATINO,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/023-Tempus_Te_Mecum_LATINO.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/023-Tempus_Te_Mecum_LATINO.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139884/Tempus_Te_Mecum_LATINO_fpj2re.mp3
024,Sentimiento_Musical_Multilingue,Tempus Te Mecum LATINO V2,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/024-Tempus_Te_Mecum_LATINO_V2.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/024-Tempus_Te_Mecum_LATINO_V2.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139882/Tempus_Te_Mecum_LATINO_V2_owhwvc.mp3
025,Sentimiento_Musical_Multilingue,TearsofAcceptance,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/025-TearsofAcceptance.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/025-TearsofAcceptance.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139850/TearsofAcceptance_st0zis.mp3
026,Sentimiento_Musical_Multilingue,Swahili Instrumental,instrumental,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/026-Swahili_Instrumental.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/026-Swahili_Instrumental.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139850/Swahili_Instrumental_fiyhtq.mp3
027,Sentimiento_Musical_Multilingue,Nyumbani Kwako SWAHILI V2,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/027-Nyumbani_Kwako_SWAHILI_V2.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/027-Nyumbani_Kwako_SWAHILI_V2.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139876/Nyumbani_Kwako_SWAHILI_V2_ffkvwh.mp3
028,Sentimiento_Musical_Multilingue,Nyumbani Kwako SWAHILI V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/028-Nyumbani_Kwako_SWAHILI_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/028-Nyumbani_Kwako_SWAHILI_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139857/Nyumbani_Kwako_SWAHILI_V1_bphqpj.mp3
029,Sentimiento_Musical_Multilingue,Mon Refuge FRANÇAIS V2,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/029-Mon_Refuge_FRANÇAIS_V2.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/029-Mon_Refuge_FRANÇAIS_V2.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139857/Mon_Refuge_FRAN%C3%87AIS_V2_jizaoc.mp3
030,Sentimiento_Musical_Multilingue,Mon Refuge FRANÇAIS V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/030-Mon_Refuge_FRANÇAIS_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/030-Mon_Refuge_FRANÇAIS_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139857/Mon_Refuge_FRAN%C3%87AIS_V1_hhvlz5.mp3
031,Sentimiento_Musical_Multilingue,Mistica Ancestral Greco Latina,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/031-Mistica_Ancestral_Greco_Latina.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/031-Mistica_Ancestral_Greco_Latina.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139854/Mistica_Ancestral_Greco-Latina_mgzaob.mp3
032,Sentimiento_Musical_Multilingue,Meant To Be ENGLISH Instrumental,instrumental,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/032-Meant_To_Be_ENGLISH_Instrumental.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/032-Meant_To_Be_ENGLISH_Instrumental.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139855/Meant_To_Be_ENGLISH__Instrumental_xoqwo7.mp3
033,Sentimiento_Musical_Multilingue,Meant To Be ENGLISH V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/033-Meant_To_Be_ENGLISH_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/033-Meant_To_Be_ENGLISH_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139856/Meant_To_Be_ENGLISH_V1_a1zcji.mp3
034,Sentimiento_Musical_Multilingue,Live Multilingual Medley En Vivo,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/034-Live_Multilingual_Medley_En_Vivo.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/034-Live_Multilingual_Medley_En_Vivo.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139878/Live_Multilingual_Medley_En_Vivo_nmqszd.mp3
